"play","value"
"Yannick Gerhardt","€4.00m"
"Kevin Paredes","€7.50m"
"Lovro Majer","€20.00m"
"Jakub Kaminski","€6.00m"
"Ulysses Llanez","€200k"
"Patrick Wimmer","€15.00m"
"Vaclav Cerny","€7.00m"
"Jonas Wind","€20.00m"
"Tiago Tomás","€6.00m"
"Lukas Nmecha","€5.00m"
"Amin Sarr","€4.00m"
"Kevin Behrens","€2.00m"
"Dzenan Pejcinovic","€1.00m"
"Noah Atubolu","€10.00m"
"Florian Müller","€1.20m"
"Benjamin Uphoff","€300k"
"Philipp Lienhart","€15.00m"
"Matthias Ginter","€10.00m"
"Attila Szalai","€4.00m"
"Kenneth Schmidt","€2.50m"
"Manuel Gulde","€1.50m"
"Max Rosenfelder","€500k"
"Christian Günter","€5.00m"
"Jordy Makengo","€3.50m"
"Kiliann Sildillia","€15.00m"
"Lukas Kübler","€2.00m"
"Yannik Keitel","€5.00m"
"Nicolas Höfler","€2.00m"
"Merlin Röhl","€12.00m"
"Maximilian Eggestein","€10.00m"
"Daniel-Kofi Kyereh","€3.50m"
"Vincenzo Grifo","€9.00m"
"Noah Weißhaupt","€5.00m"
"Florent Muslija","€2.50m"
"Ritsu Doan","€18.00m"
"Roland Sallai","€15.00m"
"Maximilian Philipp","€2.00m"
"Michael Gregoritsch","€8.00m"
"Lucas Höler","€4.00m"
"Junior Adamu","€4.00m"
"Maximilian Breunig","€800k"
"Jonas Omlin","€6.00m"
"Moritz Nicolas","€2.50m"
"Jan Olschowsky","€600k"
"Tobias Sippel","€300k"
"Maximilian Brüll","€75k"
"Ko Itakura","€12.00m"
"Nico Elvedi","€10.00m"
"Maximilian Wöber","€10.00m"
"Marvin Friedrich","€3.50m"
"Fabio Chiarodia","€2.00m"
"Tony Jantschke","€400k"
"Mamadou Doucouré","€100k"
"Luca Netz","€10.00m"
"Lukas Ullrich","€750k"
"Joe Scally","€10.00m"
"Stefan Lainer","€2.50m"
"Simon Walde","€500k"
"Julian Weigl","€6.00m"
"Christoph Kramer","€1.70m"
"Manu Koné","€20.00m"
"Rocco Reitz","€10.00m"
"Florian Neuhaus","€7.00m"
"Robin Hack","€8.00m"
"Franck Honorat","€12.00m"
"Nathan Ngoumou","€5.00m"
"Patrick Herrmann","€1.00m"
"Tomas Cvancara","€8.00m"
"Alassane Plea","€7.00m"
"Jordan","€4.00m"
"Grant-Leon Ranos","€1.00m"
"Shio Fukuda","€300k"
"Oliver Baumann","€3.00m"
"Nahuel Noll","€500k"
"Luca Philipp","€300k"
"Ozan Kabak","€10.00m"
"Kevin Akpoguma","€3.00m"
"Stanley Nsoki","€2.50m"
"Tim Drexler","€2.50m"
"John Brooks","€2.00m"
"Kasim Adams","€700k"
"David Jurásek","€8.00m"
"Marco John","€1.50m"
"Pavel Kaderabek","€3.00m"
"Florian Grillitsch","€6.50m"
"Anton Stach","€15.00m"
